id,product_series,product_name,manufacturer,product_type,supported_protocols
1126,Liebert,HiPulse,Vertiv Group Corp,Uninterruptible Power Supplies,modbus
1127,PowerLogic,Energy Meter,Schneider Electric,Power Meters,modbus
1128,Amik,301,Simpson Electric,Power Meters,modbus
1129,Tmax XT5,Tmax XT5 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1130,PowerLogic,PM700,Schneider Electric,Power Meters,modbus
1131,ME96,SSRA,Mitsubishi,Power Meters,modbus
1132,Eco-Power Meter,KW1M-R,Panasonic,Power Meters,modbus
1133,Tmax XT4,Tmax XT4 & Ekip Z-LS & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1134,Emax X1,Emax X1 & PR332/P & PR330/D-M,ABB,Circuit Breakers,modbus
1135,ACS,880 FW 2.8x,ABB,Variable Frequency Drives,modbus | ethernet-ip
1136,Acuvim,II Series,Accuenergy,Power Meters,modbus
1137,Acuvim,II Series,Accuenergy,Power Meters,modbus
1138,DRM,40,TE Connectivity,Power Meters,modbus
1139,Emax 2,Emax 2 & Ekip UP & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1140,Tmax XT7 M,Tmax XT7 M & Ekip M Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1141,DIRIS Digiware,I-30,Socomec,Power Meters,modbus
1142,PowerLogic,ION9000,Schneider Electric,Power Meters,modbus
1143,PMC,330,CET,Power Meters,modbus
1144,Galaxy,5000,Schneider Electric,Uninterruptible Power Supplies,modbus
1145,J,J1000,Omron,Variable Frequency Drives,modbus
1146,Acuvim,DL,Accuenergy,Power Meters,modbus
1147,Emax,Emax & PR122/P + PR120/V & PR120/D-M,ABB,Circuit Breakers,modbus
1148,VF,S11,Toshiba,Variable Frequency Drives,modbus
1149,Data Centre and Facility UPS,93PM (MS-CARD),Eaton,Uninterruptible Power Supplies,modbus
1150,8400,Motec,Lenze,Variable Frequency Drives,ethernet-ip
1151,Conext,CL-SUNSPEC,Schneider Electric,Solar Inverters,modbus
1152,Tmax XT7,Tmax XT7 & Ekip G Hi-Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1153,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1154,Vacon,NXP,Danfoss,Variable Frequency Drives,ethernet-ip
1155,UR,B90PLUS,General Electric,Protection Relays,modbus
1156,Emax 2,Emax 2 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1157,SM,102,Hager,Power Meters,modbus
1158,Data Centre and Facility UPS,9390,Eaton,Uninterruptible Power Supplies,modbus
1159,PMC,330B,CET,Power Meters,modbus
1160,Tmax XT7,Tmax XT7 & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1161,UR,N60,General Electric,Protection Relays,modbus
1162,Tmax XT4,Tmax XT4 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1163,V,V1000-4x,Yaskawa,Variable Frequency Drives,modbus
1164,Emax,Emax w. PR333/P-LSIG,ABB,Circuit Breakers,modbus
1165,Tmax XT5,Tmax XT5 & Ekip G Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1166,Access,9510,Siemens,Power Meters,modbus
1167,3 Series,350,General Electric,Protection Relays,modbus
